group,term,label
negative_scrna_concordant,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial–mesenchymal transition
negative_scrna_concordant,HALLMARK_ANGIOGENESIS,Angiogenesis
negative_scrna_concordant,HALLMARK_HYPOXIA,Hypoxia
negative_scrna_concordant,HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6–JAK–STAT3
negative_scrna_concordant,HALLMARK_IL2_STAT5_SIGNALING,IL2–STAT5
negative_scrna_concordant,HALLMARK_KRAS_SIGNALING_UP,KRAS signaling up
negative_scrna_concordant,GOBP_LEUKOCYTE_CHEMOTAXIS,Leukocyte chemotaxis
negative_scrna_concordant,GOBP_MACROPHAGE_CHEMOTAXIS,Macrophage chemotaxis
negative_scrna_concordant,GOBP_LEUKOCYTE_MIGRATION,Leukocyte migration
negative_scrna_concordant,GOBP_REGULATION_OF_LIPID_STORAGE,Lipid storage
negative_scrna_concordant,GOBP_FOAM_CELL_DIFFERENTIATION,Foam-cell differentiation
negative_scrna_concordant,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Integrin signaling
negative_scrna_concordant,GOBP_CELL_MATRIX_ADHESION,Cell–matrix adhesion
negative_scrna_concordant,HALLMARK_COAGULATION,Coagulation
negative_scrna_concordant,GOBP_CHRONIC_INFLAMMATORY_RESPONSE,Chronic inflammatory response
positive_interferon_autophagy,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon alpha response
positive_interferon_autophagy,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon gamma response
positive_interferon_autophagy,GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome organization
positive_interferon_autophagy,GOBP_AUTOPHAGY_OF_MITOCHONDRION,Autophagy of mitochondrion
positive_interferon_autophagy,GOBP_NUCLEOPHAGY,Nucleophagy
positive_interferon_autophagy,GOBP_MICROAUTOPHAGY,Microautophagy
positive_interferon_autophagy,GOBP_PIECEMEAL_MICROAUTOPHAGY_OF_THE_NUCLEUS,Piecemeal microautophagy of nucleus
positive_interferon_autophagy,GOBP_MACROAUTOPHAGY,Macroautophagy
positive_interferon_autophagy,GOBP_MITOPHAGY,Mitophagy
positive_interferon_autophagy,GOBP_AUTOPHAGOSOME_MATURATION,Autophagosome maturation
